Title,synopsis,coverImg,yearPublished,infoLink,avgRating,authorId,publisherId,genreId
I am the Clay,"“[Chaim] Potok writes powerfully about the suffering of innocent people caught in the cross-fire of a war they cannot begin to understand. . . . Humanity and compassion for his characters leap from every page.”—San Francisco Chronicle As the Chinese and the army of the North sweep south during the Korean War, an old peasant farmer and his wife flee their village across the bleak, bombed-out landscape. They soon come upon a boy in a ditch who is wounded and unconscious. Stirred by possessiveness and caring the woman refuses to leave the boy behind. The man thinks she is crazy to nurse this boy, to risk their lives for some dying stranger. Angry and bewildered, he waits for the boy to die. And when the boy does not die, the old man begins to believe that the boy possesss a magic upon which all their lives depend. . . .",http://books.google.com/books/content?id=Tl6FUQrMrF0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2010,https://play.google.com/store/books/details?id=Tl6FUQrMrF0C&source=gbs_api,0,66,68,4
Bergdorf Blondes : A Novel,"Meet moi, 'a champagne bubble of a girl about town working at being a princess by day and by night on the prowl for that elusive, must-have accessory every girl simply demands: an impossibly rich fiancé'. It shouldn't be too tricky. After all, her BFF is Julie Bergdorf, department store heiress, queen of Park Avenue and owner of hair universally acknowledged as the Perfect Shade of Blonde. Life is a whirl of ball gowns and blow-dries (which inevitably take waaay too long, because hairdressers always need to talk through their addictions). But, strictly entre nous, it can actually be très draining to mix parties, peach bellinis and private jets ('PJs' to those fluent in globetrotting) while maintaining a standout collection of Chloé jeans and a job. How does she manage it? Plum Sykes lifts the lid on Manhattan's elite in this devilishly witty, deliciously addictive tale of the search for love – and the ultimate Manolos.",http://books.google.com/books/content?id=DmRMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2018,https://play.google.com/store/books/details?id=DmRMDwAAQBAJ&source=gbs_api,0,340,32,1
O Little Town of Maggody: An Arly Hanks Mystery,"Country music, greed, and the unique madness of Maggody, Arkansas, collide in this delightful cozy mystery starring unflappable police chief Arly Hanks. Matt Montana is the favorite son of sleepy Maggody, Arkansas. With the voice of an angel and a smile as charming as that of the devil, he’s made a name for himself under the bright lights of Nashville and become one of the most famous faces in country music. Meanwhile, Maggody has sunk into the worst recession in years. So when Matt announces that he’s returning home to play a benefit concert, the locals do everything they can to cash in on Montana fever. The oddballs of Maggody smell a payday, and not even murder can stop them from cashing in. As every shop in town stocks up on Matt Montana memorabilia, police chief Arly Hanks—the only sane woman in town—tries to keep her head down. But when one of Matt’s entourage turns up dead in a store window, it’s up to Arly to make sure this isn’t country music’s last act. The Arly Hanks Mysteries have skewered topics from Hollywood filmmakers to right-wing militias to the greedy schemes of televangelists, and this take on country music superstars shows the town of Maggody at its best. Fans of cozy mysteries know that nobody does it better than Joan Hess. O Little Town of Maggody is the 7th book in the Arly Hanks Mysteries, but you may enjoy reading the series in any order.",http://books.google.com/books/content?id=AUAEDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2016,https://play.google.com/store/books/details?id=AUAEDAAAQBAJ&source=gbs_api,0,199,130,9
Little Myth Marker,"Skeeve, a young magician, and Aahz, his demon teacher, face the prospect of going out of business when their enemies hire the Axe, a top character assassin. Reissue.",http://books.google.com/books/content?id=Ta_z_X30_eoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,http://books.google.com/books?id=Ta_z_X30_eoC&dq=Little+Myth+Marker&hl=&source=gbs_api,0,358,5,3
Winter Winds (Seaside Seasons #4),"In Winter Winds, Gayle Roper concludes her delightful Seaside Seasons series with a tale of romance, crime, startling mix-ups, and a few hard hearts that just might get a much-needed midwinter thaw. After his guardian's severe illness, pastor Paul Trevelyan returns to his congregation in Seaside with a big surprise - a wife he's been estranged from for seven years. It was the old man's ailing wish that Dori and Trev return to each other, and they agree, as long as they can sleep in separate bedrooms. The dangers of a sinister luggage mix-up are compounded by discord within the church, as a highly opinionated elder proves he will stop at nothing to see Trev gone. This blizzard of difficulties leaves just a snowball's chance of a thaw between the stubborn spouses. Bitter winds... After a tragedy-riddled early life, Dori MacAllister has made a quiet place for herself on the West Coast, far from the landscape of her earlier heartbreaks. When she receives word that the man who raised her is gravely ill, she is drawn back to a place full of love and longing—and betrayal. Winds of love... Pastor Paul Trevelyan hasn't seen the woman he loves in six years. When he's given a second chance with her, he longs to make it work this time. The trouble is, if he doesn't win her back, it could cost him his job—and his happiness. Winds of danger... The charming town of Seaside now has its very own crime boss, and Officer Maureen Galloway would love to be the one to make charges stick. her investigation leads to Dori MacAllister, but is Dori an accomplice or a victim? And why is pharmacist Phil Trevelyan so bent on getting in Maureen's way?",http://books.google.com/books/content?id=RQuZcu7ZEigC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2011,https://play.google.com/store/books/details?id=RQuZcu7ZEigC&source=gbs_api,0,148,117,10
The Jury (Paul Madriani Novels),"The Attorney, which marked the return of Steve Martini's lawyer-sleuth Paul Madriani, was hailed for its ""well-observed courtroom maneuverings"" (The Christian Science Monitor) and ""crisp dialogue and tart observations"" (Publishers Weekly). Now Martini delivers the most daunting capital case of Madriani's career. Paul Madriani has ample reason to suspect he's representing a guilty man. Dr. David Crone, a respected medical researcher and principal in mapping the human genome, is charged with the murder of a young colleague: twenty-six-year-old Kalista Jordan, an African-American research physician whose body washed up on a beach in San Diego Bay. Forensic evidence links her murder with material in Crone's garage. Crone had both opportunity and motive: Kalista had recently ended their affair, and may have been deserting him professionally as well, moving on to a rival genetic research facility. However, when a key witness for the prosecution dies unexpectedly, leaving an incriminating note behind, Crone's innocence seems confirmed-until Madriani hits upon a potentially damning loose end.",http://books.google.com/books/content?id=8Cc_Ly4PSwEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2002,https://play.google.com/store/books/details?id=8Cc_Ly4PSwEC&source=gbs_api,0,394,140,9
Defector,"In Moscow Rules Gabriel Allon went up against the sadisitc Ivan Kharkov. Now he must outsmart him once and for all in this #1 New York Times bestseller from Daniel Silva. Grigori Bulganov once saved Gabriel Allon's life in Moscow—and Allon always repays his debts. So when the former Russian intelligence officer vanishes, Allon gathers his team of operatives to go after those responsible. But, in a running battle that rages across the globe, Allon soon realizes that his enemy may already hold the key to victory. And that if he continues, it will cost him more than he can bear...",http://books.google.com/books/content?id=FpJbihbI3g8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2009,https://play.google.com/store/books/details?id=FpJbihbI3g8C&source=gbs_api,0,91,140,9
The Shadow Box,"Preparing for an exhibit that includes a piece about the domestic violence she once endured at the hands of her gubernatorial candidate husband, an artist survives a home invasion only to find herself pitted against dangerous corrupt forces.",http://books.google.com/books/content?id=5PRhzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2021,http://books.google.com/books?id=5PRhzQEACAAJ&dq=The+Shadow+Box&hl=&source=gbs_api,0,270,183,9
Adolescente: La Clave para ser Libre y Feliz (Teenager: The Key for Freedom and Happiness) (Spanish Edition),"""Nineteen Eighty-Four: A Novel"", often published as ""1984"", is a dystopian social science fiction novel by English novelist George Orwell. It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, ""Nineteen Eighty-Four"" centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated. The story takes place in an imagined future, the year 1984, when much of the world has fallen victim to perpetual war, omnipresent government surveillance, historical negationism, and propaganda. Great Britain, known as Airstrip One, has become a province of a totalitarian superstate named Oceania that is ruled by the Party who employ the Thought Police to persecute individuality and independent thinking. Big Brother, the leader of the Party, enjoys an intense cult of personality despite the fact that he may not even exist. The protagonist, Winston Smith, is a diligent and skillful rank-and-file worker and Outer Party member who secretly hates the Party and dreams of rebellion. He enters into a forbidden relationship with a colleague, Julia, and starts to remember what life was like before the Party came to power.",http://books.google.com/books/content?id=PEpoEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2021,https://play.google.com/store/books/details?id=PEpoEAAAQBAJ&source=gbs_api,0,150,204,2
"Blow Negative ! (""The Best Novel of the Navy Since the Caine Mutiny"")","James Webb’s classic, scorching novel of the Vietnam War. They each had their reasons for becoming a Marine. They each had their illusions. Goodrich came fresh from Harvard. Snake got the tattoo before he even got the uniform. Hodges was haunted by the spirits of family heroes. Three young men, from vastly different worlds, were plunged into a white-hot, murderous melting pot of jungle warfare in the An Hoa Basin, Vietnam, 1969. They had no way of knowing what awaited them. For nothing could have prepared them for the madness of what they found. And in the heat and horror of battle they took on new identities, took on each other, and were reborn in fields of fire... Fields of Fire is a searing story of poetic power, razor-sharp observation, and non-stop combat, perfect for fans of Tim O’Brien, Karl Marlantes and Apocalypse Now. Praise for Fields of Fire ‘Few writers since Stephen Crane have portrayed men at war with such a ring of steely truth’ The Houston Post ‘A novel of such fullness and impact, one is tempted to compare it to Norman Mailer’s The Naked and the Dead’The Oregonian ‘Webb gives us an extraordinary range of acutely observed people, not one a stereotype ... Fields of Fire is a stunner’ Newsweek ‘Webb pulls off the scabs and looks directly, unflinchingly on the open wounds of the Sixties’ Philadelphia Inquirer ‘The unmistakable sound of truth’ Time",http://books.google.com/books/content?id=uZSODwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2019,http://books.google.com/books?id=uZSODwAAQBAJ&dq=Blow+Negative+!+(%22The+Best+Novel+of+the+Navy+Since+the+Caine+Mutiny%22)&hl=&source=gbs_api,0,179,40,4
