Title,profileName,rating,review
The Jury (Paul Madriani Novels),Harriet Klausner,5,"While floating in the water near San Diego, research scientist Kalista Jordan contemplates what she can do next to get ahead in her profession. The intelligent African-American physicist knows all the angles and is setting in motion her plan to replace her boss Dr. David Crone. However, she runs into her apartment when she hears a frightening noise only to have someone choke her to death.Attorney Paul Madriani feels frustrated as his stubborn client David, on trial for Kalista's murder, refuses to cooperate in his own defense. Wondering if he represents a guilty person, Paul concludes that he will do his job in spite of his brilliant clients' efforts to stubbornly block him and try to win an acquittal from the jury.THE JURY reads like a modernized and updated Stanley Erle Gardner Perry Mason legal thriller. The novel treats the readers to a daily account of the trial and when court is not in session readers get an insider's look into hard to enter legal circles. The story line is very vivid, especially when Steve Martini describes the courtroom scenes. They feel so authentic the audience will feel they sit in the docket. Clearly, this novel is in the running for best legal procedural of the year, sending readers seeking running for more Martinis.Harriet Klausner"
Key of Knowledge (Key Trilogy),Harriet Klausner,5,"In Pleasant valley, Pennsylvania, three women were invited to attend a cocktail party hosted at a castle by people they never met before. Intrigued each one shows up as well as three men. The women learn they are the chosen to rescue the stolen souls of the three ""daughters of glass"". Each one will seek a special key that will open the locks that imprison Ninkane, Venora, and Kyna. Others have tried and failed as the God Kane is powerful, tricky, and willing to kill his antagonists.Last month Malory Price was first up and successfully found the KEY OF LIGHT. She also fell in love with one of the trio of men accompanying the hunt. Now librarian Dana Steele draws the short straw and begins her quest for the KEY OF KNOWLEDGE. She has one month to succeed or the entire mission fails. Though she knows that at some point she will go it alone, her allies help her, but especially Jordan Hawke. She loved him once, but he left her without a look back. Jordan is willing die to keep his beloved safe. Kane is willing to accommodate Jordan, but killing Dana is an option.The key to a Nora Roberts novel is the believability of the characters who, regardless of the situation (even a fantasy setting), seem genuine. That is the case in KEY OF KNOWLEDGE as it was with its predecessor and guaranteed to occur with the conclusion (see KEY OF VALOR). The story line is exciting, but it is the prime players regardless of ""species"" that make this tale and the series a must delight for fans of romantic fantasy.Harriet Klausner"
Key of Knowledge (Key Trilogy),A Customer,1,This was my least favorite book in a poorly written series. The plot went around in circles and it felt like nothing was being accomplished. I enjoy Nora Roberts' books but I really did not like this series and I would not recommend it to anyone.
Lover's Talisman,CoffeeGurl,4,"This book broke the reading rut I've had for a couple of days. Lover's Talisman is an erotic and paranormal delight. The story and the leading characters will hook you in and won't let go until its final page. Welcome to Talisman Bay -- where things go bump in the night and where love comes along in the most unexpected ways. The Shadow Walkers consist of a secret group of five mortal men who protect people from demons, vampires, werewolves and other monsters. Stephan Rashleigh is one of those men. He has dedicated his life to protecting innocent bystanders against creepy crawlies and has given up on the idea of ever finding love. That is until he meets Mariah, an exotic dancer with a tumultuous romantic past. His life is never the same after he saves her life from a mating demon. Then he decides to continue to protect her after her best friend is kidnaped by werewolves. He knows that he is the reason why she is danger, and dreads the thought of giving up on the only woman he has ever loved. There are various twists throughout the novel.This novel has a dark edge that comes from the paranormal aspect of the story. I liked the world of Talisman Bay and the sort of noble heroes the Walkers represented. However, I would have liked for the novel to concentrate more on the monsters -- namely the vampires, werewolves and different kinds of demons -- and less on the sexual tension between Stephan and Mariah. I found it unrealistic that Mariah delved on her sexual attraction for Stephan after she had encountered a supernatural creature for the first time. Not that I didn't enjoy the sexual tension and subsequent sex scenes between the protagonists. The scenes were amazingly hot. And I liked that the leading characters were well developed, even if the other Shadow Walkers were not as well developed. But this is an outstanding series and I look forward to getting to know all of the characters. Aside from a few inconsistencies, Talisman Bay is a steamy, action-packed, entertaining novel. I highly recommend it. I look forward to reading the second part of the series."
The Atrocity Archives (Laundry Files),Harriet Klausner,5,"""The Atrocity Archive"". .The mission of the ultra top secret British espionage agency the Laundry is to defend the crown against occult attacks. The agency employs a variety of employees, but perhaps at the lowest rung is Bob, a computer repairman. However, Bob stops what could have been a nasty incident occurring during a demonstration. His reward is a leap into the cold to save the world from devastation from beyond that plans to snack on the universe once this essence pierces the once thought of impregnable barrier.""The Concrete Jungle"". The country starting with the Laundry is in trouble as some big shot plans to change agents into zombies so that he can take over the country and ultimately the world. Only Agent Bob and local police officer Josephine stand in the way of stopping the zombie attack, but first he must explain why he failed to follow standard operating procedures when he called for backup during a deadly confrontation in which he failed to fill out the proper form and going through the chain of command. Saving the world does not stop a written reprimand and counseling as follow the rules not logic prevails.Taking Get Smart into a technological paranormal world is what the novel (The Atrocity Archives) and the novella (The Concrete Jungle) is all about as Bob battles supernatural combatants and the bureaucracy with differing but always humorous results. Both tales are satirical fun as the espionage thriller goes through the rinse cycle as only officious government regulations would expect. Charles Stross writes a wild zany pair of occult spy escapades.Harriet Klausner"
A JOURNEY TO THE CENTER OF THE EARTH,A Customer,4,this is an ok book really interesting but a lot of hard words. You should have dictionary next to you or look it up on your'e kindle just like me.
Beyond the Shadows,Harriet Klausner,5,"In 1955, Deborah Haskins receives grieving sympathy from her parents and her beloved Andy's parents at his funeral. All she could think of is that it is not fair, as the two should have grown old together on their farm together. However, the Korean War cut short the life of the pious Sunday school teacher Andy; Deborah feels fifteen months seems unfairly and excessively short.A few months after the funeral veteran Gideon Clermont, who served with Andy in Korea and attended the funeral, arrives at the farm to offer help to the widow. Andy was his best friend and saved his life. Not long afterward, surprising everyone who knows her and her love for Andy, Deborah and Gideon marry. However, Gideon is a gentle alcoholic who believes he pales next to the angelic aura of Deborah instead of the deeply religious Andy. This marriage seemingly in haste appears doomed unless they reach out to one another and the Lord with understanding that there is ""a reason for every purpose under heaven"".Deborah is the key to this wonderful inspirational character study as she feels somewhat like a female Job tested with the death of her first husband and the alcoholism of her second spouse. Gideon is a more complex person as he concludes that he is a shadow compared to Andy's light and ironically as a carpenter to Jesus. Alcohol is his only way to escape BEYOND THE SHADOWS that engulfs him unless they turn to the Lord. Robin Lee Hatcher furbishes an intriguing historical Christian drama that readers of the sub-genre will highly value as entertainment and more significantly as encouragement.Harriet Klausner"
Being Committed : A Novel,CoffeeGurl,4,"Anna Maxted is one of my favorite Brit-chick-lit authors. I loved Getting Over It and Behaving Like Adults and looked forward to reading Being Committed. Hannah is a thirty-something private investigator with commitment issues. Jason, her boyfriend of five years, proposes marriage and she says no. When she discovers that he is engaged to another woman just a few weeks after breaking up with her, she tries to get back with him. He accepts, but under one condition: that she attends therapy sessions with him and seeks closure with her ex-husband Jack. As Hannah tries to figure out her feelings for Jack and Jason, she discovers many things about herself and about secrets behind the marriage and infidelities between her mother and her father. There are various fun twists throughout the novel.Again, Maxted creates a fun story that has quite some poignant storylines that make her novel have more depth than the average chick-lit. The author has always mixed dark issues with lighthearted language, making the novel entertaining as well as thought-provoking. In here, Maxted does a deep study of romantic relationships and commitment issues. The lines are full of wit and insight. My favorite passage is: ""There are certain men who need to get married, for whom the woman is almost incidental to proceedings. The woman is the tedious yet necessary ingredient, similar to yeast in bread. This sort of man fixes on his target rather like a pit bull, and any girl who can't run fast enough is at risk."" Witty remarks such as this one occur throughout the novel. I love Hannah's dry humor. The part where she talks about waxing, er, certain embarrassing parts is hilarious! I laughed aloud many times, sometimes in public, much to other people's puzzlement. This is a novel that will make you laugh, nod in agreement with Hanna's musings and move you with the poignant developments. Anna Maxted has quite a unique voice and I recommend this gem."
"Tempting Danger (The World of the Lupi, Book 1)",Harriet Klausner,5,"San Diego Police Detective Lily Yu sees the mangled corpse of a big victim who seemed to know how to defend himself, but was ripped apart anyway. She realizes that this is no ordinary killer. Evidence points towards the Nokolai werewolf clan's Prince Rule Turner.When someone viciously assaults his father, the clan leader, Rule concludes he can no longer let the officials investigate the murders that make him the prime suspect. He is fortunate that the lead police investigator is not only open-minded, but smells a frame. Lily and Rule team up to try to stop a Lupi serial killer from murdering more innocent people, but neither realized that their partner is their lifemate though both feel the attraction from the start.Talk about living dangerously, Eileen Wilks takes her novella ""Only Human"" from the terrific paranormal romance anthology LOVER BEWARE and lengthens it into a fantastic full length novel. The story line contains all the excitement and more as readers gain a greater understanding of the werewolf species and insight into the lead couple. Lily and Rule are a fabulous pairing who must first weed out a rogue killer before they can explore their feelings. Ms. Wilks takes a chance and readers are the winners.Harriet Klausner"
An Infamous Army,CoffeeGurl,5,"Spring and summer, 1815. It has been reported that Napoleon Bonaparte has left the isle of Elba and is marching down to France from the north. The Duke of Wellington and other commanders are gathering their armies to prepare for any potential attack, though most people think it will lead to nothing. The Duke describes his troops as an ""infamous Army, very weak, and ill-equipped, and a very inexperienced staff."" You can cut the tension with a knife. As Europe prepares for battle, Colonel Charles Audley, during his stay in Brussels, falls for Lady Barbara Childe, a beautiful widow with a questionable reputation. She is a flirt, has broken many hearts, which is why everyone is shocked when she accepts the colonel's marriage proposal. Audley is a penniless soldier, and everyone thought that she would go for a wealthy gentleman. As the Battle of Waterloo looms and the people begin to flee the premises, the lady and her brave colonel embark upon a journey of self-discovery all their own...I read this book about the same time as I reread Jane Austen's Emma, and I must say that it is difficult to pinpoint which one of the two I enjoyed reading the most. This is one of the best historical novels I have read in a very long time. Georgette Heyer describes Waterloo in such a way that you feel like you are there. She even describes the passage that Bonaparte takes in his effort to invade France. There is a main romantic plot centered on Lady Barbara and the Colonel, but the chapters that concentrate on the Duke of Wellington and the political affairs are much more fascinating. Put together, however, makes for a fascinating read. Georgette Heyer doesn't get enough credit for her novels. She -- like English contemporaries Daphne du Maurier, Mary Stewart and Anya Seton -- don't get the sort of praise that older novelists like Jane Austen and Charlotte Bronte get. Yet they deserve it, including Heyer, whose work includes some funny Regency romances, some of which I've read, but had also written intelligent historical fiction and dark mysteries. An Infamous Army, first published in 1937, is the perfect novel for those who love the Napoleonic era. Cannot recommend this enough!"
